Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000229379,-0.417629769,-0.36618956,0.012913588,-0.236527765,-0.027606238
ENST00000284971,-0.624561444,-0.491920665,-0.140496749,-0.492459385,-0.097239886
ENST00000309579,-0.45870059,-0.369570215,-0.117050934,-0.220614532,-0.125025913
ENST00000371437,-0.511605302,-0.447902288,-0.098117938,-0.413426671,-0.22368907
ENST00000249289,-0.698406533,-0.716421161,-0.050689787,-0.464154055,-0.309652174
ENST00000265983,-0.558837262,-0.483401999,0.08495085,-0.242025992,-0.171273156
ENST00000378670,-0.34866467,-0.462566639,-0.100413559,-0.286338026,0.064619707
ENST00000340385,-0.355008445,-0.46291091,-0.095590533,-0.197953378,0.041900009
ENST00000233893,-0.403088029,-0.353023148,-0.061274315,-0.079311546,-0.134834821
ENST00000370081,-0.573664679,-0.472173099,-0.197261986,-0.435347542,-0.216314699
ENST00000305107,-0.760316997,-0.470908132,-0.348060856,-0.763555169,-0.029291039
ENST00000286758,-0.853020366,-0.414016795,0.230866136,-1.243570535,-0.185119221
ENST00000361335,-0.620702517,-0.366393964,-0.399626132,-0.456896424,0.112181387
ENST00000237889,-0.679762044,-0.726298828,-0.268997985,-0.510742337,-0.241176759
ENST00000616316,-0.410472745,-0.287376761,-0.008593146,-0.192239576,-0.084514114
ENST00000300688,-0.416584679,-0.334472875,-0.187836194,-0.223070281,0.042941617
ENST00000356708,-0.468166903,-0.348165067,-0.1530879,-0.220316916,-0.046048096
ENST00000286953,-0.603861186,-0.473212757,-0.20733703,-0.333776175,-0.173256813
ENST00000358406,-0.542581371,-0.3591634,-0.120190651,-0.3485099,0.034661594
ENST00000287022,-0.571511092,-0.530402818,-0.139894907,-0.550043184,-0.265128991
ENST00000398056,-1.002443913,-0.723313122,-0.209015168,-0.50545002,-0.353149161
ENST00000584577,-0.568085338,-0.532108288,-0.120016728,-0.037252943,-0.242494289
ENST00000311672,-0.36077417,-0.378143416,-0.032671045,-0.374751399,-0.112346779
ENST00000374855,-0.608590297,-0.438440078,-0.084537484,-1.103257581,0.131267228
ENST00000368356,-0.730155498,-0.606821032,-0.437920896,-0.294281698,0.004244059
ENST00000539261,-0.829908986,-0.885945631,0.026437704,-0.610181344,-0.298898099
ENST00000486534,-0.234110533,-0.953536325,0.029049412,-0.20921903,-0.339962266
ENST00000463368,-0.234110533,-0.953536325,0.029049412,-0.20921903,-0.339962266
ENST00000476879,-0.234110533,-0.953536325,0.029049412,-0.20921903,-0.332872841
ENST00000479416,-0.234110533,-0.953536325,0.029049412,-0.20921903,-0.332872841
ENST00000468339,-0.234110533,-0.953536325,0.029049412,-0.20921903,-0.332872841
ENST00000374313,-0.639210678,-0.506887429,-0.182026186,-0.525982993,-0.05932107
ENST00000493422,-0.574023665,-0.151788308,0.112661126,-0.909625425,0.263644852
ENST00000394252,-0.663953967,-0.531195056,-0.209990291,-0.463490899,-0.135933599
ENST00000372563,-0.558837262,-0.62403789,-0.250671112,-0.397960728,-0.257068666
ENST00000481445,-0.39420656,-0.288205857,0.147634306,-0.225584958,-0.140091769
ENST00000379847,-0.447805949,-0.423412476,-0.028442922,0.008996872,-0.140652148
ENST00000393868,-0.473948364,-0.57580699,-0.278421175,-0.391541057,0.083064454
ENST00000216225,-0.586493605,-0.222294241,-0.196514384,0.040234218,-0.138762627
ENST00000259457,-0.387851065,-0.408143336,-0.244479848,-0.343965691,0.101009087
ENST00000359481,-0.799845361,-0.713620537,-0.027182376,-0.600127679,-0.249850303
ENST00000328434,-0.517614599,-0.318009232,-0.093940095,-0.220454933,-0.060999899
ENST00000585421,-0.699699797,-0.40074706,-0.038261983,-0.030447358,-0.364240627
ENST00000276590,-0.547060094,-0.526005807,-0.113690209,-0.270389739,-0.227167181
ENST00000524142,-0.582882736,-0.402710424,-0.27664991,-0.45009324,-0.087913774
ENST00000306185,-0.347333156,-0.428158484,0.045557659,-0.297393903,-0.118264669
ENST00000261811,-0.650260289,-0.514963312,-0.254002623,-0.42514945,0.02822142
